COMP9517|Chan, Andrew Tony Ethan                           |19940113|M
COMP9024|Zhong, Richard Jonathan                           |20000308|M
DPBS1120|Kim, Joe                                          |19970909|M
COMP6447|Song, Richard Wenbo Rui Zheng                     |19960604|M
COMP9313|Deng, Ivan Caleb                                  |20031123|M
COMP2521|Peng, Victor Jacob Sean                           |20020819|M
DPST1071|Xie, Joshua                                       |19930519|M
COMP2511|Liang, Justin                                     |19981029|M
COMP9311|Zhu, Mohammad Christian Haotian                   |19890811|M
COMP3511|Liu, Samuel Kai                                   |19960105|M
COMP1521|Xie, Jenny                                        |19981116|F
COMP1521|Wu Xavier, Eric Zac Chun Darren                   |20000405|M
COMP1511|Li Daniel, Joshua                                 |19990503|M
COMP1010|Ren Jennifer, Mia Anna                            |19960525|F
COMP6443|Wei, James Xiang Robert Jin                       |19990227|M
COMP1531|Song, Caleb                                       |19971121|M
COMP1511|Wu, Michelle                                      |20010425|F
COMP6447|Liu, Nicole Grace Emily                           |20021122|F
COMP9517|Yao, Sarah Natalie                                |19970820|F
COMP6771|Zhang, Samuel Oscar                               |19931025|M
COMP6771|Li, Jeremy Kevin Winston                          |19941101|M
COMP2521|Zhou, Steven Brandon                              |20030423|M
COMP9447|Li, Daniel Andrew                                 |19941010|M
COMP2041|Gupta, Patrick Aryan                              |19970530|M
COMP4336|Yang, Xin Vivian                                  |20000311|F
DPBS1150|Qian, Yuhao Jay Adrian                            |19980610|M
BIOM9420|Yan, Danny Evan                                   |20011231|M
COMP9444|Chen Jesse, Anthony Brian                         |19980725|M
COMP2511|Pham, Xiang                                       |19990426|M
COMP9414|Chen, Richard Alexander                           |19940714|M
COMP9444|Tan, Bill Simon Robert                            |20020126|M
COMP3900|Zhou, Nicholas                                    |20030721|M
DPBS1150|Du Frank, James Yi                                |20000807|M
DPST1014|Xue, Gabriel Ken                                  |20000725|M
COMP6771|Yang, Oscar                                       |20001004|M
COMP2041|Wang, Joshua Samuel                               |19980916|M
DPST1022|Kim, Yi Noah                                      |19900927|M
COMP2521|Xu, Patrick William                               |20020212|M
COMP1521|Pham, Catherine                                   |19970111|F
COMP1511|Tang, Aditya Ahmed Jordan                         |19940324|M
COMP6447|He Ran, Anthony Tianyu                            |20000416|M
DPGE1001|Chen, Thomas Yi                                   |19991113|M
COMP2511|Lee, Simon Justin Derek                           |20020511|M
COMP9444|Zhou, Ethan Charles Ian Leon                      |20040724|M
DPBS1190|Jackson, Rishi                                    |19970926|M
COMP1531|Zeng, Rui Edward Zac                              |19980916|M
COMP9417|Qiu, Jenny Maria Fiona                            |19910413|F
COMP2041|Wong, Sophie Chelsea Vanessa                      |20020811|F
COMP1531|Liu, Michael Albert                               |19941116|M
COMP1521|Li, Jessica Michelle                              |20040307|F
DPST1014|Gu, Rachel Maria                                  |19971005|F
COMP9444|Zhou, Catherine Lucy Tina Vivian                  |20000906|F
COMP9517|Wang, Jessica Olivia Natalie                      |19970619|F
COMP2521|Qiu, Callum Jiaqi Dylan Anton                     |20031114|M
DPST1013|Huang Aryan, Callum Samuel Jimmy                  |19940721|M
COMP2041|Bai, Dylan Tian Wei                               |20000407|M
DPGE1002|Zhou, William Ray                                 |20031007|M
COMP9417|Yang, Karen Hannah                                |20040801|F
COMP2521|Chen, Melanie Vivian                              |20000709|F
COMP9313|Chen, .                                           |19960301|F
COMP9021|Zhang, Patrick Robert Yiming                      |19940822|M
COMP1531|Dai, Anna Xinyu                                   |20020403|F
DPST1021|Hu, Yi Catherine Chelsea                          |19970606|F
COMP6443|Zhang, Jiaqi                                      |19950807|F
COMP9444|Li, William Nicolas Aryan                         |20040416|M
ENGG1811|Ahmed, Aditya Ian Jacky                           |20011024|M
COMP9900|Lai, Alexander                                    |19870726|M
COMP9444|Guo, Rachel Natalie Hannah                        |19960806|F
COMP2511|Huang, Thomas Henry Jerry                         |20010406|M
COMP2521|Feng, Olivia                                      |20001117|F
COMP6447|Qi, Terry Luke Ray                                |20040129|M
GSOE9220|Xu, Mitchell Yue Yuchen                           |20000722|M
DPST1021|Shi, Josh Jeremy                                  |20020219|M
COMP1010|Chen Sean, Samuel Mohammad                        |19990310|M
COMP2521|Zhao, Peter Paul                                  |20030129|M
BIOM9660|Liu, James Edwin                                  |19930725|M
COMP3121|Li, Ryan Nikhil                                   |20011004|M
BIOM1010|Singh Peter, Haoran                               |20030414|M
COMP9414|Qi, Christian                                     |20040106|M
COMP9902|Li, Xin Xinyu                                     |19971225|M
DPST1014|Li Ray, Michael Kenny Joseph                      |20031103|M
COMP6771|Ngo, Fiona Annie Charlotte Sarah                  |19960326|F
COMP2041|Wilson, Yang Yang Leo Hugo                        |20020208|M
COMP9313|Chen, Andrew                                      |20040730|M
COMP2041|Hu, Boyang Brandon Haoran                         |20040705|M
COMP9331|Zhou, Michael                                     |19970428|M
COMP1521|Wong, Xinyu Amy                                   |19961115|F
COMP3900|Meng Kenny, Albert Mohammad Evan                  |19991116|M
COMP3900|Ang, Will Christian Xavier Rahul                  |20030113|M
DPGE1003|Lim, Ho                                           |19790210|M
COMP9024|Wu, Justin Stephen Paul Kenneth                   |19930517|M
COMP1521|Gu, Yuhao Nicolas                                 |19900414|M
COMP1531|Tang Xinran, Hannah Anna Jennifer                 |19971217|F
COMP1521|Liu, David Chun                                   |19961204|M
COMP9319|Luo Jordan, Brendan Brendan Will                  |19961202|M
COMP9517|Nguyen, Richard                                   |20020720|M
DPGE1001|Zhou Ziheng, Sean                                 |20030812|M
COMP1521|Wang, Nicholas Raymond Isaac                      |20000127|M
DPGE1002|Hu, Hao Owen Ricky                                |20030328|M
COMP6843|Sun, Edward Terry                                 |20020503|M
DPST1032|Chen, Amy Amy                                     |19991117|F
COMP1521|Zhou Lachlan, John Zachary Edward                 |19930609|M
COMP9902|Wang, Jesse                                       |20000625|M
COMP2041|Huang, Raymond Rui                                |20011110|M
COMP2511|Zhou Ziheng, Sean                                 |20030812|M
COMP3511|Wang, James                                       |19980223|M
COMP1911|Guo, William Yuhao Xiao                           |19980825|M
COMP9417|Pham, Christine Sarah                             |20020228|F
DPGE1002|Liu, Michael                                      |20040712|M
COMP9902|Guo, Richard Tom                                  |19990324|M
COMP3153|Wang, Grace Catherine                             |19961202|F
COMP2521|Shao, Tony                                        |19980723|M
COMP6443|Deng, Zhen George Alexander                       |19930821|M
COMP9020|Zou, Austin Stanley Jack                          |19951203|M
DPBS1170|Pham, Lawrence Yichen Xiao                        |19960214|M
DPBS1170|Chen, Andrew Eric                                 |20030812|M
COMP2511|Singh, Oscar Sunny                                |20021210|M
COMP9021|Wang, William Sean Richard                        |19970902|M
DPBS1170|Lin, Steven                                       |19910829|M
ENGG1811|Liang, Christopher Jacob Feng Gabriel             |19990203|M
DPGE1003|Li, James Nicholas Christopher                    |19970212|M
COMP2041|Liu, William Mark                                 |20040114|M
COMP1511|Sun, Luke                                         |19961115|M
COMP2041|Chen, Austin                                      |19980922|M
COMP3141|Wang, Matthew George                              |19900307|M
COMP2041|Liu, Alex Zachary                                 |19920602|M
ENGG1811|Luong, Jiaxin Michael                             |20010513|M
DPBS1170|Zhou Kelvin, Jack Ahmed Terry                     |19960513|M
COMP9331|Gu, Mia Jing                                      |19991024|F
COMP9444|Guo, Jason                                        |20031202|M
COMP9444|Zhou, Dylan Boyang Frank                          |20000327|M
COMP2041|Li Jiacheng, Justin Ran                           |20001126|M
